Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer Part Number 1,Manufacturer Part Number,Footprint

"","100nF","Cap Ceramic 100nF 25V X8R 20% Pad SMD 0603 +150°C Automotive T/R","C1, C3, C4","","Unknown server","","3","CGA3E2X8R1E104M080AA","","FP-CGA3E-0_3-0_1-IPC_B"
"","10uF","Cap Ceramic 10uF 10V X5R 20% Pad SMD 0805 +85°C Automotive T/R","C2","","Unknown server","","1","CGA4J3X5R1A106M125AB","","FP-CGA4J-IPC_B"
"","GREEN","LED GREEN CLEAR CHIP SMD","D1","","Unknown server","","1","LTST-C193KGKT-5A","","FP-LTST-C193KGKT-5A-MFG"
"","RED","LED RED CLEAR CHIP SMD","D2","","Unknown server","","1","LTST-C190KRKT","","FP-LTST-C190KRKT-MFG"
"","Micro USB","Micro USB B Type Receptacle, -55 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel","J1","","Unknown server","","1","10118193-0001LF","","FCI-10118193-0001LF-5_V"
"","Battery Header","Connector Header Through Hole 2 position 0.079"" (2.00mm)","J2","","Unknown server","","1","B2B-PH-K(LF)(SN)","","FP-B2B-PH-K_LF_SN-MFG"
"","FS8205","","Q1","","Not managed","","1","","FS8205","SOT95P280X145-6N"
"","1k","CRGCQ0402 1K? 1% ±100ppm/°C 50V","R1, R2, R3","","Unknown server","","3","CRGCQ0402F1K0","CRGCQ0402F1K0","FP-CRGCQ0402-IPC_C"
"","1k","100? ±1% 0.1W 0402 High Power Anti-Sulfur Thin Film Chip Resistor","R4","","Unknown server","","1","RNCP0402FTD100R","","FP-RNCP0402-IPC_A"
"","1.2k","Res Thick Film 1206 1.2k? 1% 0.1W ±100ppm/°C Automotive Paper T/R","Rprog","","Unknown server","","1","KTR18EZPF1201","","FP-KTR18-IPC_B"
"","TP4056","SOP-8 Battery Management ICs ROHS","U1","","Not managed","","1","","","SOIC127P600X265-8N"
"","DW01A","battery protection IC","U2","","Not managed","","1","","DW01A","SOT95P280X145-6N"
